Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       07/10/20
Time:       18:16
Revision:   7036561d7d110aacd9bb786d2ae11bac78d280a4
Variant:    NO_AdditionalHeader
Units used: mm

Designator Comment                             Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                          
C16        33uF                                TopLayer TDK_0805                  8,8000       30,9000      270      "CAP CER 33UF 10V X5R 0805"                                                                                          
J2         "USB Micro-B"                       TopLayer MOLEX-1050170001          3,3785       37,2985      270      "Micro; B Type; receptacle; Bottom Mount, SMT, with Solder Tabs, Lead-Free"                                          
J5         90130-1110                          TopLayer 0901301110                44,5000      54,2500      270      "Conn Shrouded Header HDR 10 POS 2.54mm Solder ST Thru-Hole Tray"                                                    
J4         90130-1110                          TopLayer 0901301110                44,5000      70,0000      270      "Conn Shrouded Header HDR 10 POS 2.54mm Solder ST Thru-Hole Tray"                                                    
U1         74LVC2G17DW-7                       TopLayer Nexperia-SOT363           9,0880       49,0372      0        "Buffers & Line Drivers LVC 2 Gates LOGIC"                                                                           
X1         32.768kHz                           TopLayer XTAL_NX3215SA-00          15,0816      22,8550      180      "CRYSTAL 32.768KHZ 6PF SMD"                                                                                          
U5         TLV62569DBVR                        TopLayer TI-SOT23-6                23,3140      36,5760      180      "Variable voltage buck converter"                                                                                    
U4         LTC4361CDC-1                        TopLayer LTC4361-1#TRPBF           14,8690      31,2330      90       "LINEAR TECHNOLOGY LTC4361CDC-1#TRMPBF IC, OVERVOLTAGE/CUR PROT, 8DFN"                                               
U3         TLV62569DBVR                        TopLayer TI-SOT23-6                23,3680      26,7540      180      "Variable voltage buck converter"                                                                                    
U2         STM32L031K6T6                       TopLayer LQFP32-ST                 13,3810      15,3550      270      "IC MCU 32BIT 32KB FLASH 32LQFP"                                                                                     
IO0_TXD    TestPoint                           TopLayer Pad1.27mm                 44,0000      78,5000      0        "Test Point"                                                                                                         
IO1_TXD    TestPoint                           TopLayer Pad1.27mm                 37,5000      78,5000      0        "Test Point"                                                                                                         
SW5        PTS645SM43SMTR92LFS                 TopLayer C&K_PTS645SM43SMTR92LFS   12,7000      4,5720       180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                   
SW4        PTS645SM43SMTR92LFS                 TopLayer C&K_PTS645SM43SMTR92LFS   26,6700      4,5720       180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                   
