Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       07/10/20
Time:       18:16
Revision:   7036561d7d110aacd9bb786d2ae11bac78d280a4
Variant:    NO_AdditionalHeader
Units used: mm

Designator Comment                             Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                          
SW3        "SWI TACT SPN0 PANASONIC EVQQ2P03W" TopLayer EVQQ2P03W                 40,3860      4,5720       180      "PANASONIC - EVQQ2P03W - SWITCH, SPNO, SMD"                                                                          
SW2        PTS645SM43SMTR92LFS                 TopLayer C&K_PTS645SM43SMTR92LFS   4,3000       63,7000      270      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                   
SW1        "SWI TACT SPN0 PANASONIC EVQQ2P03W" TopLayer EVQQ2P03W                 34,9000      14,7000      360      "PANASONIC - EVQQ2P03W - SWITCH, SPNO, SMD"                                                                          
R31        33.2k                               TopLayer RC0603                    28,8893      33,7820      180      "33.2K OHM 1% 1/10W 0603"                                                                                            
R30        33.2k                               TopLayer RC0603                    6,8040       30,7340      90       "33.2K OHM 1% 1/10W 0603"                                                                                            
R29        150k                                TopLayer RC0603                    28,1400      36,3220      90       "150 kohm, RC Series, 75 V, Thick Film, 100 mW, YAGEO - RC0603FR-07150KL - SMD Chip Resistor, 0603 [1608 Metric]"    
R28        4.7K                                TopLayer RC0603                    34,5000      37,0000      90       "4.7K OHM 0603 1% 1/10W"                                                                                             
R27        0.1R                                TopLayer VISHAY-0603               44,7099      22,9755      360      "0.1 Ohm 0603 0.5% 0.20W Current Sense Rohs Compliant: Yes"                                                          
R26        0R033                               TopLayer RC0603                    12,3000      31,0000      90       "0.033 Ohm 0603 1% 0.1W(1/10W) �1500ppm/C Epoxy Pad SMD Automotive T/R"                                              
R25        33.2k                               TopLayer RC0603                    28,8000      24,0000      180      "33.2K OHM 1% 1/10W 0603"                                                                                            
R24        150k                                TopLayer RC0603                    27,9790      26,4930      90       "150 kohm, RC Series, 75 V, Thick Film, 100 mW, YAGEO - RC0603FR-07150KL - SMD Chip Resistor, 0603 [1608 Metric]"    
R23        100K                                TopLayer VISHAY-0603               3,0000       16,5924      180      "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R22        10K                                 TopLayer VISHAY-0603               6,0960       20,5059      360      "10K Ohm 0603 1% 1/10W �100ppm/�C Molded SMD Paper T/R"                                                              
R21        0R                                  TopLayer 1608-EIA0603              32,4005      27,3185      360      "YAGEO         RC0603JR-070RL             RES, THICK FILM, 0R, 0.1W, 0603"                                           
R20        10K                                 TopLayer VISHAY-0603               6,0960       21,7307      180      "10K Ohm 0603 1% 1/10W �100ppm/�C Molded SMD Paper T/R"                                                              
R19        100K                                TopLayer VISHAY-0603               3,0000       17,8000      180      "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R18        300R                                TopLayer RC0603                    20,8153      17,7800      180      "300 Ohm, 0603, 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R"                                                       
R17        620R                                TopLayer RC0603                    20,8280      16,2560      360      "620 Ohm, 0603, 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R"                                                       
R16        680R                                TopLayer RC0603                    20,8280      14,7320      360      "680R, 0603 YAGEO - RC0603FR-07680RL - SMD Chip Resistor, RC Series, 50 V, Thick Film, 100 mW"                       
R15        100K                                TopLayer VISHAY-0603               6,8580       7,6200       90       "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R14        10K                                 TopLayer VISHAY-0603               20,8280      19,0500      180      "10K Ohm 0603 1% 1/10W �100ppm/�C Molded SMD Paper T/R"                                                              
R13        100K                                TopLayer VISHAY-0603               20,5740      7,6200       270      "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R12        100K                                TopLayer VISHAY-0603               34,5440      7,6200       270      "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R11        620R                                TopLayer RC0603                    20,8280      13,2080      180      "620 Ohm, 0603, 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R"                                                       
R10        620R                                TopLayer RC0603                    5,4756       72,1717      90       "620 Ohm, 0603, 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R"                                                       
R9         300R                                TopLayer RC0603                    3,7350       72,1413      270      "300 Ohm, 0603, 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R"                                                       
R8         680R                                TopLayer RC0603                    7,2196       72,1717      90       "680R, 0603 YAGEO - RC0603FR-07680RL - SMD Chip Resistor, RC Series, 50 V, Thick Film, 100 mW"                       
R7         620R                                TopLayer RC0603                    34,7000      40,0000      180      "620 Ohm, 0603, 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R"                                                       
R6         100K                                TopLayer VISHAY-0603               9,2000       52,0000      0        "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R5         100K                                TopLayer VISHAY-0603               32,1000      44,8000      360      "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R4         100K                                TopLayer VISHAY-0603               9,6371       64,2362      180      "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R3         100R                                TopLayer VISHAY-0603               44,7099      31,9751      180      "100 OHM Current Sense 0.1% 1/2W 0603"                                                                               
R2         100K                                TopLayer VISHAY-0603               36,0490      21,8090      180      "100K Ohm 0603 1% 0.1W(1/10W) 100ppm Paper T/R"                                                                      
R1         "1 M"                               TopLayer RC0603                    3,9873       30,2088      360      "1M 0603 Case 1% 0.1W 100ppm/C"                                                                                      
Q5         LM66100DCKR                         TopLayer TI-LM6610-SC-70           8,6070       26,0220      0        "1.5-V to 5.5-V, 1.5-A, 0.5-uA IQ ideal diode with Integrated FET 6-SC70 -40 to 105"                                 
Q4         LM66100DCKR                         TopLayer TI-LM6610-SC-70           8,3393       37,9450      0        "1.5-V to 5.5-V, 1.5-A, 0.5-uA IQ ideal diode with Integrated FET 6-SC70 -40 to 105"                                 
Q3         SI3590DV-T1-E3                      TopLayer SI3590DV-T1-E3            15,0380      34,3590      360      "MOSFET N&P-CH 30V (D-S)"                                                                                            
Q2         SI3590DV-T1-E3                      TopLayer SI3590DV-T1-E3            2,7940       20,5740      0        "MOSFET N&P-CH 30V (D-S)"                                                                                            
Q1         2N7002ET1G                          TopLayer SOT23-ONS                 8,8000       54,5000      90       "N-CH 60V 0.26A 3-Pin SOT-23 T/R"                                                                                    
M1         AES-MS-MT3620-M-G                   TopLayer AES-MS-MT3620-M-G         23,9840      62,7000      0        ""                                                                                                                   
L2         2.2�H                               TopLayer NR3015T2R2M               23,4000      40,4000      0        "FIXED IND 2.2UH 1.5A 72 MOHM SMD"                                                                                   
L1         2.2�H                               TopLayer NR3015T2R2M               23,5000      30,7000      0        "FIXED IND 2.2UH 1.5A 72 MOHM SMD"                                                                                   
J13        MOLEX-0022284030                    TopLayer 0022284030                44,7099      25,5155      360      "CONN HEADER 3POS .100 VERT TIN"                                                                                     
J12        MOLEX-0022284030                    TopLayer 0022284030                37,8000      38,5000      90       "CONN HEADER 3POS .100 VERT TIN"                                                                                     
J10        FTSH-105-01-F-DV-K                  TopLayer SAMTEC-FTSH-105-01-X-DV-K 45,4660      14,7320      180      "CONN HEADER 10POS DUAL .05" SMD"                                                                                    
J8         MOLEX-0022284020                    TopLayer 0022284020                30,9700      42,3000      0        "CONN HEADER 2POS .100 VERT TIN"                                                                                     
J7         MOLEX-0022284030                    TopLayer 0022284030                44,7099      29,5795      180      "CONN HEADER 3POS .100 VERT TIN"                                                                                     
J6         FTSH-105-01-F-DV-K                  TopLayer SAMTEC-FTSH-105-01-X-DV-K 45,4660      40,3860      180      "CONN HEADER 10POS DUAL .05" SMD"                                                                                    
J1         SM02B-SRSS-TB(LF)(SN)               TopLayer SM02B-SRSS-TB             3,2695       26,1620      270      "Conn Shrouded Header HDR 2 POS 1mm Solder RA SMD T/R"                                                               
FB1        BLM18AG601SN1D                      TopLayer BLM18P                    9,8000       22,9000      270      "MURATA - BLM18AG601SN1D - Feritov� Kor�lek, 0603 / 1608, 600 ohm, 500 mA, S�rie BLM18A, 0.38 ohm, � 25%"            
D3         LTST-C19HE1WT                       TopLayer LTST-C19HE1WT             26,5000      17,2000      90       "LED RGB DIFFUSED 0606 SMD"                                                                                          
D2         SML-D12U                            TopLayer Rohm_SML-D12_Red          26,5000      14,7000      180      "1.6 x 0.8 x 0.55mm (0603) LED 620nm Red"                                                                            
D1         LTST-C19HE1WT                       TopLayer LTST-C19HE1WT             6,2000       76,9000      180      "LED RGB DIFFUSED 0606 SMD"                                                                                          
C17        33uF                                TopLayer TDK_0805                  30,1720      36,3220      90       "CAP CER 33UF 10V X5R 0805"                                                                                          
C15        33pF                                TopLayer 0603_AVX                  26,3620      36,3220      90       "33 pF, 16 V, 0603 [1608 Metric], � 5%, X7R, AVX 0603 MLCC, AVX - 0603YC330JAT2A - SMD Multilayer Ceramic Capacitor" 
C14        10�F                                TopLayer CAPC1608-EIA0603-1MM-MED  18,9000      30,6000      90       "CAP CER 10UF 25V 20% X5R 0603"                                                                                      
C13        33pF                                TopLayer 0603_AVX                  26,2290      26,4930      90       "33 pF, 16 V, 0603 [1608 Metric], � 5%, X7R, AVX 0603 MLCC, AVX - 0603YC330JAT2A - SMD Multilayer Ceramic Capacitor" 
C12        33uF                                TopLayer TDK_0805                  29,9790      26,4930      90       "CAP CER 33UF 10V X5R 0805"                                                                                          
C11        0.1uF                               TopLayer CC0603                    5,2007       7,6183       270      "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C10        0.1uF                               TopLayer CC0603                    19,0500      7,6200       90       "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C9         4.3pF                               TopLayer CAP_0603_(1608)_x_1.2mm   13,5122      25,6838      270      "4.3PF 50V C0G/NP0 0603"                                                                                             
C8         4.3pF                               TopLayer CAP_0603_(1608)_x_1.2mm   16,6186      25,6612      270      "4.3PF 50V C0G/NP0 0603"                                                                                             
C7         0.1uF                               TopLayer CC0603                    33,0200      7,6200       90       "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C6         0.1uF                               TopLayer CC0603                    20,8280      20,3200      180      "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C5         0.1uF                               TopLayer CC0603                    9,6371       62,6512      360      "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C4         0.1uF                               TopLayer CC0603                    38,0000      49,0000      90       "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C3         0.1uF                               TopLayer CC0603                    8,9640       72,1717      270      "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C2         0.1uF                               TopLayer CC0603                    36,0490      20,3090      360      "0.1uF, 0603, CC0603KRX7R8BB104, Yageo, 25V, X7R, 10%, FULL REEL"                                                    
C1         "22 pF"                             TopLayer CC0603                    3,9703       31,7500      180      "22PF 0603 100V C0G/NPO"                                                                                             
